ticket_id,account_id,area,opened_at,subject,body,status
TICKET-005001,ACCOUNT-1006,payments,2026-07-24T00:53:12Z,Payment went to the wrong supplier,I picked the wrong saved payee. Can it be stopped?,closed
TICKET-005002,ACCOUNT-1006,cards,2026-07-15T06:54:02Z,New card has not arrived,Ordered three weeks ago for a new starter.,closed
TICKET-005003,ACCOUNT-1008,payments,2026-07-14T05:19:51Z,Payment failed but the money left the account,The screen said failed. The balance says otherwise.,closed
TICKET-005004,ACCOUNT-1003,statements,2026-08-11T18:07:16Z,Export will not download,The download starts and then stops at nothing.,closed
TICKET-005005,ACCOUNT-1003,scheduled-payments,2026-08-19T06:38:17Z,How do I cancel a scheduled payment?,I cannot find where to stop one that is already set up.,closed
TICKET-005006,ACCOUNT-1006,account-opening,2026-06-18T16:55:12Z,Application still pending after a week,We applied on the 2nd and it still says in review. We need the account to pay suppliers.,closed
TICKET-005007,ACCOUNT-1003,access,2026-06-10T21:03:17Z,Cannot add a new user,New bookkeeper starts Monday and I cannot give her access.,closed
TICKET-005008,ACCOUNT-1003,statements,2026-06-27T08:06:53Z,Statement missing for last month,July is not in the list. June and August are.,closed
TICKET-005009,ACCOUNT-1004,scheduled-payments,2026-06-23T02:10:58Z,The rent was taken twice,"Same amount, same day, twice. We are now overdrawn.",closed
TICKET-005010,ACCOUNT-1010,cards,2026-07-20T10:06:25Z,Cards declining abroad for the whole team,Three of us are at a trade fair and none of the cards work.,closed
TICKET-005011,ACCOUNT-1004,access,2026-07-10T00:45:13Z,Locked out and the code is not arriving,The text message never comes. I have tried for an hour.,closed
TICKET-005012,ACCOUNT-1002,payments,2026-06-12T15:38:00Z,Payment failed but the money left the account,The screen said failed. The balance says otherwise.,closed
TICKET-005013,ACCOUNT-1002,payments,2026-07-17T22:54:54Z,How long does a payment take to arrive?,We have been told same day and we have been told two days.,closed
TICKET-005014,ACCOUNT-1007,access,2026-07-15T01:04:37Z,Cannot add a new user,New bookkeeper starts Monday and I cannot give her access.,closed
TICKET-005015,ACCOUNT-1001,account-opening,2026-06-15T00:00:51Z,Verification photo keeps failing,I have tried six times with two phones. It says the photo is unclear.,closed
TICKET-005016,ACCOUNT-1004,account-restrictions,2026-08-10T22:56:08Z,Why is the account restricted?,It happened overnight with no warning and no explanation.,closed
TICKET-005017,ACCOUNT-1002,cards,2026-06-22T19:25:45Z,Card declined in a shop,Declined twice at a builders merchant with money in the account.,closed
TICKET-005018,ACCOUNT-1003,payments,2026-07-19T00:31:32Z,Payment went to the wrong supplier,I picked the wrong saved payee. Can it be stopped?,closed
TICKET-005019,ACCOUNT-1003,fees,2026-06-30T07:33:07Z,Unexpected charge on the statement,There is a charge on the 14th that nobody here recognises.,closed
TICKET-005020,ACCOUNT-1009,access,2026-08-24T07:12:28Z,Cannot add a new user,New bookkeeper starts Monday and I cannot give her access.,closed
TICKET-005021,ACCOUNT-1004,fees,2026-08-22T04:20:04Z,Unexpected charge on the statement,There is a charge on the 14th that nobody here recognises.,closed
TICKET-005022,ACCOUNT-1007,payments,2026-07-11T20:35:34Z,Payment failed but the money left the account,The screen said failed. The balance says otherwise.,closed
TICKET-005023,ACCOUNT-1010,cards,2026-07-19T22:20:53Z,New card has not arrived,Ordered three weeks ago for a new starter.,closed
TICKET-005024,ACCOUNT-1001,fees,2026-08-17T08:40:52Z,Credit line interest is higher than we were quoted,We were quoted one rate and the statement shows another.,closed
TICKET-005025,ACCOUNT-1009,account-opening,2026-07-03T10:17:22Z,Which documents do you actually need?,The list on the site and the email we got ask for different things.,closed
TICKET-005026,ACCOUNT-1002,fees,2026-06-07T18:22:02Z,Credit line interest is higher than we were quoted,We were quoted one rate and the statement shows another.,closed
